"document_id","text","label_id"
"299","Still on trial until Friday.","6"
"300","Hey Luciano, I was out of the office last week dealing with a family emergency and haven't reconnected with him since then. I sent an email asking for a meeting today. I'll give him a call this afternoon if I don't hear back. Did they buy Gong or are they on trial?","6"
"301","Hey Vanessa,

Nice speaking with you just a moment ago, and thank you for helping to coordinate a 30min follow-up with Sri (cc'd here).

Here is my availability for next Wednesday, June 27th:

xxtime xxtime xxtime xxtime xxtime xxtime CT.

What works best for Sri?","5"
"302","Hey Michael,

Hope you had a nice weekend. Curious to know how you have using Gong over the past week.

Are you available to touch base today at xxtime tomorrow at xxtime or Wednesday at xxtime","5"
"303","Hey Matt,

Hope you had a nice weekend.

After reading one of your LinkedIn's posts, ""The hard close is dead. Here's what has replaced it"", I wanted to share a Gong Labs report that validates your point with hard data.

We analyzed over 40,000 closing sales calls and came to the surprising conclusion that successful and unsuccessful closing conversations look the same. By contrast, calls that happen upstream in the sales cycle (especially discovery calls) look starkly different in terms of which lead to closed or lost deals.

Here is the full report. Looking forward to our conversation tomorrow.

Cheers,","6"
"304","Hey Ian,

Hope you had a nice weekend. Find attached a Gong guide for managers. It includes tips for you and David to start maximizing your use of the platform.

What's a good time for you and David to meet your customer success manager for a kick-off session?","5"
"305","eTicket Itinerary and Receipt

Receipt for confirmation number HVYB9G

United logo link to home page

Confirmation: HVYB9G

Check-In >

Issue Date: June 17, 2018

TRAVELER INFORMATION

Traveler eTicket Number Frequent FlyerNumber Seats

SCALA/LUCIANO

0162404080476

37C/36C

FLIGHT INFORMATION

Day, Date Flight Class Departure City and Time Arrival City and Time Aircraft Meal

Fri, 29JUN18

UA1798

V

SAN FRANCISCO, CA

(SFO) xxtime SAN DIEGO, CA

(SAN) xxtime

737-800

Sun, 01JUL18 UA2016 V SAN DIEGO, CA

(SAN) xxtime SAN FRANCISCO, CA

(SFO) xxtime

FARE INFORMATION

Fare Breakdown

Airfare:

xxlink

USD

U.S. Transportation Tax:

xxlink

U.S. Flight Segment Tax:

xxlink

September 11th Security Fee:

xxlink

U.S. Passenger Facility Charge:

xxlink

Per Person Total:

xxlink

USD

eTicket Total:

xxlink

USD

Form of Payment:

VISA

Last Four Digits 2292

The airfare you paid on this itinerary totals: xxlink USD

The taxes, fees, and surcharges paid total: xxlink USD

Fare Rules:

Additional charges may apply for changes in addition to any fare rules listed.

NONREF/0VALUAFTDPT/CHGFEE

Cancel reservations before the scheduled departure time or TICKET HAS NO VALUE.

Baggage allowance and charges for this itinerary. Baggage fees are per traveler

Origin and destination for checked baggage1st bag2nd bag

Maximum weight and dimensions per piece of baggage

Max wt / dim per piece

6/29/2018 San Francisco, CA (SFO) to San Diego, CA (SAN) xxlink USD xxlink USD xxlink (xxlink) - xxlink (xxlink)

7/1/2018 San Diego, CA (SAN) to San Francisco, CA (SFO) xxlink USD xxlink USD xxlink (xxlink) - xxlink (xxlink)

Important Information about MileagePlus Earning

Accruals vary based on the terms and conditions of the traveler’s frequent flyer program, the traveler’s frequent flyer status and the itinerary selected. United MileagePlus® mileage accrual is subject to the rules of the MileagePlus program  Once travel has started, accruals will no longer display. You can view your MileagePlus account for posted accrual  You can earn up to 75,0xxtime miles per ticket. The 75,0xxtime miles cap may be applied to your posted flight activity in an order different than shown  PQD are a Premier status requirement for members in the U.S. only.  Accrual is only displayed for MileagePlus members who choose to accrue to their MileagePlus account.

eTicket Reminders

Check-in Requirement - Bags must be checked and boarding passes obtained at least 30 minutes prior to scheduled departure. Baggage will not be accepted and advance seat assignments may be cancelled if this condition is not met. EXCEPTION: When departing from Anchorage, Atlanta, Austin, Baltimore, Chicago, Cincinnati, Cleveland, Dallas/Ft. Worth, Denver, Detroit, Fort Lauderdale, Greenville-Spartanburg, Guam, Honolulu, Houston, Indianapolis, Jacksonville,  Kona, Las Vegas, Los Angeles, Maui, Miami, New York (LGA), Newark, Orange County (SNA), Orlando, Philadelphia, Phoenix, Pittsburgh, Raleigh/Durham, Reno, San Diego, San Francisco, San Juan, PR (60 minutes), Savannah, Seattle, St. Louis,  St. Thomas, U.S. Virgin Islands (60 minutes), Tampa, Washington, DC (both IAD and DCA), the check in requirement time for Passengers and Bags is 45 minutes except where noted. Boarding Requirement - Passengers must be prepared to board at the departure gate with their boarding pass at least 15 minutes prior to scheduled departure.  Failure to meet the Boarding Requirements may result in cancellation of reservations, denied boarding, removal of checked baggage from the aircraft and loss of eligibility for denied boarding compensation.  Bring your boarding pass or this eTicket Receipt along with photo identification to the airport.  The FAA now restricts carry-on baggage to one bag plus one personal item (purse, briefcase, laptop computer, etc.) per passenger. The fare rules for your ticket may restrict your carry-on baggage allowance even further.  For up to the minute flight information, sign-up for our Flight Status Updates or call 1-800-824-6200; in Spanish 1-800-426-5561.  If flight segments are not flown in order, your reservation will be cancelled. Rebooking will be subject to the fare rules governing your ticket.  For the most current status of your reservation, go to our Flight Status page.  Your eTicket is non transferable and valid for 1 year from the issue date unless otherwise noted in the fare rules.

Data Protection Notice

Your personal data will be processed in accordance with the applicable carriers privacy policy and if your booking is made via a reservation system provider (""GDS""), with its privacy policy. These are available at  xxlink or from the carrier or GDS directly. You should read this documentation, which applies to your booking and specifies, for example, how your personal data is  collected, stored, used, disclosed and transferred

Customer Care Contact Information

We welcome your compliments, comments or complaints regarding United or a United travel experience.

You may contact us using our Customer Care form

Hazardous materials

Federal law forbids the carriage of hazardous materials on board aircraft in your luggage or on your person. A violation can result in five years imprisonment and penalties of xxmoney or more (49 U.S.C. 5124).

Hazardous materials include explosives, compressed gases, flammable liquids and solids, oxidizers, poisons, corrosives and radioactive materials. Common examples of hazardous materials/dangerous goods

include spare or loose lithium batteries, fireworks, strike-anywhere matches, aerosols, pesticides, bleach and corrosive materials. Additional information can be found on:

xxlink restricted items pageFAA website Pack Safe pageTSA website Prohibited Items page

Refunds Within 24 Hours

When you book and ticket a reservation through xxlink, the United mobile app, the United Customer Contact Center, at our ticket counters or city ticket offices, or if you  use MileagePlus® miles to book an award ticket, we will allow you to cancel the ticketed reservation without penalty and receive a 1xxtime refund of the ticket price  to the original form of payment if you cancel the reservation within 24 hours of purchase and if the reservation is made one week or more prior to scheduled flight departure.

IMPORTANT CONSUMER NOTICES

Notice of Baggage Liability Limitations - For domestic travel between points within the United States (except for domestic portions of international journeys), United’s liability for loss of, damage to, or delay in delivery of a customer’s checked baggage is limited to xxmoney per ticketed customer unless a higher value is declared in advance and additional charges are paid (not applicable to wheelchairs or other assistive devices). For such travel, United assumes no liability for high value, fragile, perishable, or otherwise excluded items; excess valuation may not be declared on certain types of valuable articles. Further information may be obtained from the carrier. For international travel governed by the Warsaw Convention (including the domestic portions of the trip), maximum liability is approximately 640 USD per bag for checked baggage, and 400 USD per passenger for unchecked baggage. For international travel governed by the Montreal Convention (including the domestic portions of the trip), maximum liability is 1,131 SDRs per passenger for baggage, whether checked or unchecked. For baggage lost, delayed, or damaged in connection with domestic travel, United requires that customers provide preliminary notice within 24 hours after arrival of the flight on which the baggage was or was to be transported and submit a written claim within 45 days of the flight. For baggage damaged or delayed in connection with most international travel (including domestic portions of international journeys), the Montreal Convention and United require customers to provide carriers written notice as follows: (a) for damaged baggage, within seven days from the date of receipt of the damaged baggage; (b) for delayed baggage, within 21 days from the date the baggage should have been returned to the customer. Please refer to Rule 28 of United’s Contract of Carriage for important information relating to baggage and other limitations of liability.

Notice of Incorporated Terms - Transportation is subject to the terms and conditions of United’s Contract of Carriage, which are incorporated herein by reference. Incorporated terms may include, but are not limited to: 1. Limits on liability for personal injury or death of the customer, and for loss, damage, or delay of goods and baggage, including high value, fragile, perishable, or otherwise excluded items. 2. Claims restrictions, including time periods within which customers must file a claim or bring an action against the carrier. 3. Rights of the carrier to change terms of the contract. 4. Rules about reconfirmation of reservations, check-in times, and refusal to carry. 5. Rights of the carrier and limits on liability for delay or failure to perform service, including schedule changes, substitution of an alternate air carrier or aircraft, and rerouting. The full text of United’s Contract of Carriage is available at xxlink or you may request a copy at any United ticket counter. Passengers have the right, upon request at any location where United’s tickets are sold within the United States, to receive free of charge by mail or other delivery service the full text of United’s Contract of Carriage.

Notice of Certain Terms - If you have purchased a restricted ticket, depending on the rules applicable to the fare paid, one or more restrictions including, but not limited to, the following may apply to your travel: (1) the ticket may not be refundable but can be exchanged for a fee for another restricted fare ticket meeting all the rules/restrictions of the original ticket (including the payment of any difference in fares); (2) a fee may apply for changing/canceling reservations; or (3) select tickets may not be eligible for refunds or changes even for a fee; (4) select tickets have no residual value and cannot be applied towards the purchase of future travel; or (5) travel may be restricted to specific flights and/ or times and a minimum and/or maximum stay may be required. United reserves the right to refuse carriage to any person who has acquired a ticket in violation of any United tariffs, rules, or regulations, or in violation of any applicable national, federal, state, or local law, order, regulation, or ordinance. Notwithstanding the foregoing, you are entitled to a full refund if you cancel a ticket purchased at least a week prior to departure within 24 hours of purchase.

Notice of Boarding Times - For Domestic flights, customers must be at the boarding gate at least 15 minutes prior to scheduled departure. For International flights, customers must be at the boarding gate at least 30 minutes prior to scheduled departure. The time limits provided by United in this Notice are minimum time requirements. Customer and baggage processing times may differ from airport to airport. Please visit xxlink for information regarding airport-specific boarding times. It is the customer’s responsibility to arrive at the airport with enough time to complete check-in, baggage, and security screening processes within these minimum time limits. Please be sure to check flight information monitors for the correct boarding gate and the departure time of your flight. Failure to be at the boarding gate by the required time could result in the loss of your seat without compensation, regardless of whether you are already checked in or have a confirmed seat and boarding pass.

Advice to International Passengers on Carrier Liability - Passengers on a journey involving an ultimate destination or a stop in a country other than the country of departure are advised that international treaties known as the Montreal Convention, or its predecessor, the Warsaw Convention, including its amendments, may apply to the entire journey, including any portion thereof within a country. For such passengers, the treaty, including contracts of carriage embodied in applicable tariffs, governs, and may limit the liability of the Carrier in respect of death or injury to passengers, and for destruction or loss of, or damage to, baggage, and for delay of passengers and baggage.

Notice - Overbooking of Flights - Airline flights may be overbooked, and there is a slight chance that a seat will not be available on a flight for which a person has a confirmed reservation. If the flight is overbooked, no one will be denied a seat until airline personnel first ask for volunteers willing to give up their reservation in exchange for compensation of the airline’s choosing. If there are not enough volunteers, the airline will deny boarding to other persons in accordance with its particular boarding priority. With few exceptions, including failure to comply with the carrier’s check-in deadlines, which are available upon request from the air carrier, persons, denied boarding involuntarily are entitled to compensation. The complete rules for the payment of compensation and each airline’s boarding priorities are available at all airport ticket counters and boarding locations. Some airlines do not apply these consumer protections to travel from some foreign countries, although other consumer protections may be available. Check with your airline or your travel agent.

Thank you for choosing United Airlines

xxlink

Legal Notices. Privacy PolicyCopyright © 2018 United Airlines, Inc. All rights reserved.

For assistance, please contact United Airlines via telephone or via e-mail.","5"
"306","Thank you for choosing United Airlines

Add xxemail to your address book. See instructions.

Saturday, June 16, 2018

Thank you for choosing","6"
"307","Hi Luciano

We are all at a conference this week in Israel so probably best to arrange a call for week of 25th if June / beginning of July.

Regards,","5"
"308","We moved it to Monday. He had a conflict.","5"
