"document_id","text","label_id"
"1","White-haired Dr. Jekyll has secretly locked himself in his laboratory administering himself with a vial of formula. He slumps into his chair with his head on his chest. Slowly   as the drug takes effect   a dark-haired   taloned beast now appears in the chair. After repeated use   Jekyll's evil alter ego emerges at will   causing Jekyll to murder his sweetheart's father. The evil personality scuttles back to the laboratory only to discover that the antidote is finished and that he will be as Mr. Hyde forever. A burly policeman breaks down Jekyll's door to find that the kindly doctor is dead after taking poison.","3"
"2","Dr. Henry Jekyll (King Baggot) sends a note to his fiancée   Alice (Jane Gail)   and her father (Matt B. Snyder) to say that instead of accompanying them to the opera   he must give more time to his charity patients. At Jekyll’s practice   his friends Dr. Lanyon (Howard Crampton) and Utterson (William Sorrel)   a lawyer   ridicule him for what they consider his dangerous research. Alice and her father also visit Jekyll’s rooms   but although apologetic   the doctor insists on devoting his time to his patients. That night   however   Jekyll undertakes a dangerous experiment   swallowing a drug intended to releases his evil self. His body convulses   and he transforms into a hunched   twisted figure. The strange creature emerges from Jekyll’s room   bearing a note in Jekyll’s handwriting that orders the household staff to treat the stranger – “Mr Hyde” – as himself. Hyde then slips out into the night   terrorising the patrons of a nearby tavern before finding himself lodgings. From these rooms he begins a career of evil   until one night he attacks and injures a crippled child. Outraged witnesses corner Hyde and force him to agree to compensate the boy. Hyde reluctantly leads one man back to Jekyll’s house and gives him money. During this passage of events   a worried Dr. Utterson sees Hyde entering Jekyll’s house. Inside   Hyde takes a potion that transforms him back to Jekyll. The doctor swears that he will abandon his experiments and never tempt fate again; but that night   without taking the drug   he turns spontaneously into Hyde.","3"
"3","Henry Jekyll (John Barrymore) is a doctor of medicine   an idealist   and philanthropist. When he is not treating the poor in his free clinic   he is in his laboratory experimenting. Sir George Carew (Brandon Hurst)   the father of his fiancée   Millicent (Martha Mansfield)   is piqued by Dr. Jekyll. No man could be as good as he looks   Carew says. Following dinner one night   Carew taunts Dr. Jekyll in front of their friends   Edward Enfield (Cecil Clovelly)   Dr. Lanyon (Charles Lane) and Utterson (J. Malcolm Dunn) proclaiming In devoting yourself to others   Jekyll   aren't you neglecting the development of your own life? Isn't it by serving others that one develops oneself? Jekyll replies. Which self? Carew retorts. Man has two - as he has two hands. Because I use my right hand   should I never use my left? Your really strong man fears nothing. It is the weak one who is afraid of experience. A man cannot destroy the savage in him by denying its impulses. The only way to get rid of a temptation is to yield to it. With your youth   you should live - as I have lived. I have memories. What will you have at my age? And thus the seed is sown   and Jekyll begins his experiments. As he observes   Wouldn't it be marvellous if the two natures in man could be separated - housed in different bodies? Think what it would mean to yield to every evil impulse   yet leave the soul untouched! Finally   Jekyll develops a potion that turns him into a hideously evil creature that he calls Edward Hyde. As this creature   he is not recognizable as Dr. Jekyll   and   so   to facilitate the comings and goings of Hyde   he tells his servant   Poole (George Stevens)   that Hyde is to have full authority and liberty about the house. Jekyll thus begins to live his double life. Hyde sets up a room in one of the seediest parts of London. He brings in a girl from the dance hall   Gina (Nita Naldi)   to live with him there and frequents opium dens   dance halls   and bars - any place that satisfies his evil desires. Although Jekyll has developed a potion that will also return him to his original appearance and character as Dr. Jekyll   each time he takes the potion to become Edward Hyde   he worsens. He not only looks more evil   he becomes more evil   as well. Millicent Carew is worried about the absence of her fiancé   so Sir George goes to call on Jekyll to see what is the matter. Although Jekyll is not home when he calls   Sir George encounters Hyde in the street just as he knocks a small boy to the ground injuring him. To make recompense for his actions   he goes and gets a check which he returns to the boy's father. Carew notices that the check has been signed by Dr. Jekyll. He confronts Poole who tells him the story of Edward Hyde. In the meantime   Hyde/Jekyll has returned to the lab and   after drinking the potion   returns to his original self. Sir George finds him in the lab and demands to know his relationship with a vile thing like Hyde? What right have you to question me - you who first tempted me? says Jekyll. Sir George angrily retorts that unless Jekyll is forthcoming with an explanation   he must object to his marriage to Millicent. This angers Jekyll to the point that he suddenly becomes Hyde   right in front of Sir George's eyes   without benefit of the potion. Sir George runs into the courtyard where Hyde catches him and clubs him to death with his walking stick. Hyde runs to his apartment and destroys any evidence that may link him to Jekyll. He eludes the police by only minutes and returns to his lab where he is able to drink the potion that restores him as Jekyll. In the ensuing days   as Millicent grieves   Jekyll is tortured by his misdeeds. Soon   the drug needed to make the potion that will return him as Dr. Jekyll is depleted and cannot be found in all of London. Jekyll stays locked up in his lab fearing he may become Hyde at any moment. Millicent finally goes to see him   but just as she is about to enter the lab   he begins to transform into Hyde. Jekyll consumes the poison in the ring he took from the Italian dancer before he opens the door   fully transformed into Hyde. He lets her in   locks the door and grabs her in his arms. Suddenly   he starts convulsing. Millicent runs from the lab and when Lanyon comes in   he finds Hyde sitting in a chair   having just died   and his appearance returned to that of Dr. Jekyll. He discerns that Jekyll committed suicide   and calls the others (Poole   Utterson and Millicent) in   but declares to them that Hyde has killed Dr. Jekyll. In the final shot   Millicent is grieving next to the body of Dr. Jekyll.","3"
"4","The film is a contemporary (1920s   though the book was published in 1897) picture that takes place in New York City. The story involves a mad scientist who turns circumstances on a young man to do his bidding. Robert Sandell (Raymond McKee)   despondent over his bad luck as a writer and his mother's declining health   attacks and attempts to rob a theatergoer   Dr. Lamb (Lon Chaney)   a sinister   fanatical physician living in the suburbs of New York. Lamb takes the boy to his home   learns his story   and agrees to perform an operation on Mrs. Sandell (Virginia True Boardman) on one consideration – that Robert shall   at the end of eight days   deliver himself to the doctor to do with as he will   for experimental purposes. Frantic with worry over his dying mother's condition   Robert agrees. Mother and son take up their residence in the Lamb home   where Robert is closely watched   not only by the doctor   but by his wife (Fontaine La Rue) and a grotesque hunchback (Lon Chaney   in a dual role)   whom Robert learns afterwards is the result of one of the doctor's experiments. Dr. Lamb   anxious to keep his hold on Robert   not only gives him spending money   but assists him in having his book published through Wytcherly   head of a publishing company. Robert meets Wytcherly's daughter Angela (Jacqueline Logan) and promptly falls in love. In the meantime   the days are slipping by to the time of the experiment. Robert has been warned by Mrs. Lamb and the hunchback that great danger threatens him. At dawn   they show him as a warning a mysterious underground vault in which is a complete operating room and a tunnel of cages in which are strange prisoners – previously failed experiments of Lamb's. In agony and fear   Robert goes to the physician and tries to buy himself out of the bargain   for his book has been published and he is now a successful writer. There is yet one day before the time limit is up   but the doctor   realizing his victim may try to escape   seizes him and straps him to the operating table. He is rescued by Mrs. Lamb   the hunchback releases a cage door   and the doctor is himself brought to a horrible end at the hands of an ape-man wrecked mentally by the doctor's experiments. Finally freed from the terms of his blind bargain   Robert returns to his home to learn that his writings have met with success and that Angela waits for him at the marriage ceremony.",""
"5","The film opens with the debut of the new season at the Paris Opera House   with a production of Gounod's Faust. Comte Philippe de Chagny (John St. Polis) and his brother   the Vicomte Raoul de Chagny (Norman Kerry) are in attendance. Raoul attends only in the hope of hearing his sweetheart Christine Daaé (Mary Philbin) sing. Christine has made a sudden rise from the chorus to understudy of Mme. Carlotta   the prima donna. Raoul visits her in her dressing room during the performance   and makes his intentions known that he wishes for Christine to resign and marry him. Christine refuses to let their relationship get in the way of her career. At the height of the most prosperous season in the Opera's history   the management suddenly resign. As they leave   they tell the new managers of the Opera Ghost   a phantom who asks for opera box #5   among other things. The new managers laugh it off as a joke   but the old management leaves troubled. After the performance   the ballerinas are disturbed by the sight of a mysterious man in a fez (Arthur Edmund Carewe)   who dwells in the cellars. Arguing whether or not he is the Phantom   they decide to ask Joseph Buquet   a stagehand who has actually seen the ghost's face. Buquet describes a ghastly sight of a living skeleton to the girls   who are then startled by a shadow cast on the wall. The antics of stagehand Florine Papillon (Snitz Edwards) do not amuse Joseph's brother   Simon (Gibson Gowland)   who chases him off. Meanwhile   Mme. Carlotta (Virginia Pearson)   the prima donna of the Paris Grand Opera   barges into the managers' office enraged. She has received a letter from The Phantom   demanding that Christine sing the role of Marguerite the following night   threatening dire consequences if his demands are not met. Christine is in her dressing room at that moment   speaking to a phantom voice (which the audience sees as a shadow on a wall behind the dressing room.) The voice warns her that she will take Carlotta's place on Wednesday and that she is to think only of her career and her master. The following day   in a garden near the Opera House   Raoul meets Christine and asks her to reconsider his offer. Christine admits that she has been tutored by a divine voice   the Spirit of Music   and that it is now impossible to stop her career. Raoul tells her that he thinks someone is playing a joke on her   and she storms off in anger. Wednesday evening   Carlotta is ill and Christine takes her place in the opera. During the performance   the managers go to Box 5 to see exactly who has taken it. The keeper of the box does not know who it is   as she has never seen his face. The two managers enter the box and are startled to see a shadowy figure seated there. They run out of the box and compose themselves   but when they enter the box again   the person is gone. In her next performance   Christine reaches her triumph during the finale and receives a standing ovation from the audience. When Raoul visits her in her dressing room   she pretends not to recognize him   because unbeknownst to those in the room   the phantom voice is present. Meanwhile   Simon Buquet finds the body of his brother   Joseph   hanging by the strangler's noose and vows vengeance. Raoul spends the evening outside her door   and after the others have left   just as he is about to enter   he hears the voice within the room. He overhears the voice make his intentions to Christine: Soon   Christine   this spirit will take form and will demand your love! When Christine leaves her room alone   Raoul breaks in to find it empty. Carlotta receives another discordant note from the Phantom. Once again   it demands that she take ill and let Christine have her part. The managers also get a note   reiterating that if Christine does not sing   they will present Faust in a house with a curse on it. The following evening   despite the Phantom's warnings   a defiant Carlotta appears as Marguerite. At first   the performance goes well   but soon the Phantom's curse takes its effect   backstage   causing the great crystal chandelier to fall down onto the audience. Christine runs to her dressing room and is entranced by a mysterious voice through a secret door behind the mirror   descending   in a dream-like sequence   semi-conscious on horseback by a winding staircase into the lower depths of the Opera. She is then taken by gondola over a subterranean lake by the masked Phantom into his lair. The Phantom introduces himself as Erik and declares his love; Christine faints   so Erik carries her to a suite fabricated for her comfort. The next day   when she awakens   she finds a note from Erik telling her that she is free to come and go as she pleases   but that she must never look behind his mask. In the next room   the Phantom is playing his composition   Don Juan Triumphant. Christine's curiosity gets the better of her   and she sneaks up behind the Phantom and tears off his mask   revealing his hideously deformed face. Enraged   the Phantom makes his plans to hold her prisoner known. In an attempt to plead to him   he excuses her to visit her world one last time   with the condition that she never sees her lover again. Released from the underground dungeon   Christine makes a rendezvous at the annual masked-ball   which is graced with the Phantom in the guise of the 'Red-Death' from the Edgar Allan Poe short story of the same name. Raoul finds Christine and they flee to the roof of the Opera House   where she tells him everything that followed the chandelier crash. However   an unseen jealous Phantom perching on the statue of Apollo overhears them. Raoul plans to whisk Christine safely away to London following the next performance. As they leave the roof   the mysterious man with the fez approaches them. Aware that the Phantom is waiting downstairs   he leads Christine and Raoul to another exit. The following evening   Raoul meets Christine in her dressing room. She has heard the voice of the Phantom   who has revealed that he knows their plans. Raoul has arranged for a carriage and reassures her nothing will go wrong. During the performance   the Phantom kidnaps Christine off the stage during a blackout. Raoul rushes to Christine's dressing room   and meets the man in the fez   who reveals himself to be Inspector Ledoux   a secret policeman who has been studying Erik's moves as the Phantom since he escaped as a prisoner from Devil's Island. Ledoux reveals the secret door in Christine's room and the two men enter the catacombs of the Opera House in an attempt to rescue Christine. Instead   they fall into the Phantom's dungeon   a torture room of his design. Philippe has also found his way into the catacombs looking for his brother   and a clanging alarm alerts the Phantom to his presence in a canoe on the lake. Phillipe is drowned by Erik   who returns to find the two men in the torture chamber. Turning a switch   the Phantom subjects the two prisoners to intense heat; the two manage to escape the chamber by opening a door in the floor as they are about to perish. In the chamber below   the Phantom shuts a gate   locking them in with barrels full of gunpowder. The Phantom gives Christine a choice of two levers: one shaped like a scorpion and the other like a grasshopper. One of them will save Raoul's life   but at the cost of Christine marrying Erik   while the other will blow up the barrels in the chamber Raoul and Ledoux are trapped in   in effect destroying the Opera House and killing them all. Christine picks the scorpion   but it is a trick by the Phantom to save Raoul and Ledoux from being killed by drowning them. Christine begs the Phantom to save Raoul   promising him anything in return   even becoming his wife. At the last second   the Phantom opens a trapdoor in his floor through which Raoul and Ledoux are saved. A mob   led by Simon   infiltrates the Phantom's lair. As the clanging alarm sounds and the mob approaches   the Phantom attempts to flee with Christine in the carriage meant for Raoul and Christine. While Raoul saves Christine   the Phantom is pursued and killed by a mob   who throw him into the River Seine to finally drown. In a brief epilogue   Raoul and Christine are shown on their honeymoon in Viroflay.","4"
"6","Dick Bannister is the new field boss of the Ford Logging Company   a Canadian logging-crew during a time when conflicts with the powerful Consolidated Lumber Company   a bitter rival company   have turned bloody   like a private war. His boss   Miss Edith Ford   comes to inspect the lumberjack camp   bringing her doctor fiancé with her. Dick is attacked by his rivals and left for dead. His loss of blood is so great that he needs a transfusion   but no human will volunteer   so the surgeon uses a wolf as a source of the blood. Afterwards   Dick begins having dreams where he runs with a pack of phantom wolves   and the rival loggers get killed by wolves. Soon   these facts have spread through the camp and most of the lumberjacks decide that Dick is a werewolf. Bannister   in his attempt to jump off a cliff   is rescued by Edith.","3"
"7","In the Latin Quarter of Paris   sculptor Margaret Dauncey is injured when the top of the huge statue of a faun she is working on breaks off and falls on her. After successful surgery by brilliant Dr. Arthur Burdon saves her from paralysis   she and Burdon fall in love. The surgery is watched by various doctors and others   including Oliver Haddo   a hypnotist   magician and student of medicine (a character in Maugham's original novel based on real-life occultist Aleister Crowley). Later   in the Library of the Arsenal   Haddo finds what he has been searching for: a magic formula for the creation of human life. One of the ingredients is the heart blood of a Maiden. He rips out the page and presents the old book to Dr. Porhoet   Margaret's uncle and guardian   who has also been looking for it. When Margaret   Burdon and Dr. Porhoet go to the Fair at Leon de Belfort   they encounter Haddo   whom Margaret dislikes immediately. When Dr. Porhoet claims that the snake charmers use harmless snakes   Haddo refutes him and demonstrates his powers by letting a deadly horned viper bite him. He then magically makes the wound disappear. Porhoet remains unconvinced until the discarded viper strikes a young woman performer. Burdon has to rush her to a hospital. Later   Haddo visits Margaret uninvited. He hypnotizes her and tells her to concentrate on her statue. It seems to come to life to preside over an orgy. Critic Carlos Clarens calls this the high point of the film: a nightmarish sequence in which the hypnotised heroine (Alice Terry) see herself in the midst of an orgiastic rite presided over by Pan himself   a prancing naked satyr played by Stowitts   the American dancer at the Folies Bergere.[3] Two days before her wedding to Burdon   Margaret receives a note from Haddo   asking her to see him the next morning. She tries to resist the summons   but fails. On the day of the wedding   Burdon learns that Margaret has married Haddo instead. Porhoet is convinced it was against his niece's will   and Burdon tries to track them down. Burdon eventually encounters the couple at a casino in Monte Carlo. He and Porhoet free Margaret while Haddo is away. Porhoet places her in a sanatorium to recover. Haddo   however   finds her and takes her to his laboratory in a tower. Burdon and Porhoet employ a guide to take them there. Just as Haddo is about to stab a bound Margaret   Burdon bursts in. After a violent struggle   Haddo falls into a huge fire and is killed. Margaret emerges from her trance and is reunited with her true love. Porhoet finds the page with the formula. He burns it and sets the laboratory afire as well.","3"
"8","Alonzo the Armless is a circus freak who uses his feet to toss knives and fire a rifle at his partner   Nanon. However   he is an impostor and fugitive. He has arms   but keeps them tightly bound to his torso   a secret known only to his friend Cojo   a midget. Alonzo's left hand has a double thumb   which would identify him as the perpetrator of various crimes. Alonzo is secretly in love with Nanon. Malabar   the circus strongman   is devoted to her as well   but she has a strong fear of men's arms and cannot stand being pawed by them   so she shuns him. She only feels comfortable around the armless Alonzo. When she embraces and kisses him   he is given hope   but Cojo warns him that he cannot let it happen again. If she holds him   she might feel his arms. When Antonio Zanzi   the circus's owner and Nanon's father   discovers Alonzo's secret   Alonzo kills him with his bare hands. Nanon witnesses this through a window. A flash of lightning reveals that her father's killer has a double thumb on his left hand   but she does not see his face. Since Alonzo is believed to be armless   he is not a suspect. When the circus leaves town   Alonzo has Nanon remain behind with him. He takes extreme measures to try to have the woman he loves. He blackmails a surgeon into amputating his arms. While he is away   however   Malabar's steadfast love finally enables Nanon to overcome her phobia   and she agrees to marry him. When Alonzo (now truly armless) returns to Nanon   she excitedly tells him the news. Alonzo is shocked and horrified   first laughing   then crying   confusing the couple. He then learns that Malabar and Nanon have been practicing a new act   where the strongman's arms are seemingly pulled in opposite directions by two horses (who are actually on hidden treadmills). During the first performance   Alonzo stops one treadmill in an attempt to maim or kill his rival. When Nanon starts to intervene   Alonzo threatens her with a knife. However   she rushes to calm down one of the horses. Alonzo tries to save her from injury by pushing her out of the way. The horse knocks Alonzo down and fatally stomps on him. In the original film script and some discarded filmed sequences   Alonzo murders both the doctor and Cojo   to eliminate them as witnesses before he returns to claim Nanon.","3"
"9","Jim and Eve   a young society couple   are kidnapped on the eve of Jim's departure for Africa and brought to a mansion that is home to a strange and glamorous Satanic cult.","3"
"10","Renfield (Dwight Frye) is a solicitor traveling to Count Dracula's (Bela Lugosi) castle in Transylvania on a business matter. The people in the local village fear that vampires inhabit the castle and warn Renfield not to go there. Renfield refuses to stay at the inn and asks his carriage driver to take him to the Borgo Pass. Renfield is driven to the castle by Dracula's coach   with Dracula disguised as the driver. En route   Renfield sticks his head out the window to ask the driver to slow down   but sees the driver has disappeared; a bat leads the horses. Renfield enters the castle welcomed by the charming but eccentric Count   who unbeknownst to Renfield   is a vampire. They discuss Dracula's intention to lease Carfax Abbey in London   where he intends to travel the next day. Dracula hypnotizes Renfield into opening a window. Renfield faints as a bat appears and Dracula's three wives close in on him. Dracula waves them away   then attacks Renfield himself. Aboard the schooner Vesta   Renfield is a raving lunatic slave to Dracula   who hides in a coffin and feeds on the ship's crew. When the ship reaches England   Renfield is discovered to be the only living person. Renfield is sent to Dr. Seward's sanatorium adjoining Carfax Abbey. At a London theatre   Dracula meets Seward (Herbert Bunston). Seward introduces his daughter Mina (Helen Chandler)   her fiancé John Harker (David Manners) and the family friend Lucy Weston (Frances Dade). Lucy is fascinated by Count Dracula. That night   Dracula enters her room and feasts on her blood while she sleeps. Lucy dies the next day after a string of transfusions. Renfield is obsessed with eating flies and spiders. Professor Van Helsing (Edward Van Sloan) analyzes Renfield's blood and discovers his obsession. He starts talking about vampires   and that afternoon Renfield begs Seward to send him away   claiming his nightly cries may disturb Mina's dreams. When Dracula calls Renfield with wolf howling   Renfield is disturbed by Van Helsing showing him wolfsbane   which Van Helsing says is used for protection from vampires. Dracula visits Mina   asleep in her bedroom   and bites her. The next evening   Dracula enters for a visit and Van Helsing and Harker notice that he does not have a reflection. When Van Helsing reveals this to Dracula   he smashes the mirror and leaves. Van Helsing deduces that Dracula is the vampire behind the recent tragedies. Mina leaves her room and runs to Dracula in the garden   where he attacks her. She is found by the maid. Newspapers report that a woman in white is luring children from the park and biting them. Mina recognizes the lady as Lucy   risen as a vampire. Harker wants to take Mina to London for safety   but is convinced to leave Mina with Van Helsing. Van Helsing orders Nurse Briggs (Joan Standing) to take care of Mina when she sleeps   and not to remove the wreath of wolfsbane from her neck. Renfield escapes from his cell and listens to the men discuss vampires. Before his attendant takes Renfield back to his cell   Renfield relates to them how Dracula convinced Renfield to allow him to enter the sanitorium by promising him thousands of rats with blood and life in them. Dracula enters the Seward parlour and talks with Van Helsing. Dracula states that Mina now belongs to him   and warns Van Helsing to return to his home country. Van Helsing swears to excavate Carfax Abbey and destroy Dracula. Dracula attempts to hypnotize Van Helsing   but the latter's resolve proves stronger. As Dracula lunges at Van Helsing   he withdraws a crucifix from his coat   forcing Dracula to retreat. Harker visits Mina on a terrace   and she speaks of how much she loves nights and fogs. A bat flies above them and squeaks to Mina. She then attacks Harker but Van Helsing and Seward save him. Mina confesses what Dracula has done to her   and tells Harker their love is finished. Dracula hypnotizes Briggs into removing the wolfsbane from Mina's neck and opening the windows. Van Helsing and Harker see Renfield heading for Carfax Abbey. They see Dracula with Mina in the abbey. When Harker shouts to Mina   Dracula thinks Renfield has led them there and kills him. Dracula is hunted by Van Helsing and Harker knowing that Dracula is forced to sleep in his coffin during daylight   and the sun is rising. Van Helsing prepares a wooden stake while Harker searches for Mina. Van Helsing impales Dracula   killing him   and Mina returns to normal.","3"
